UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M14860,M,298.1,308.6,1551.0,42.8,0.0,0,No Failure
2,L47181,L,298.2,308.7,1408.0,46.3,3.0,0,No Failure
3,L47182,L,298.1,308.5,1498.0,49.4,5.0,0,No Failure
4,L47183,L,298.2,308.6,1433.0,39.5,7.0,0,No Failure
5,L47184,L,298.2,308.7,1408.0,40.0,,0,No Failure
6,M14865,M,298.1,308.6,1425.0,41.9,11.0,0,No Failure
7,L47186,L,298.1,308.6,,42.4,14.0,0,No Failure
8,L47187,L,298.1,308.6,1527.0,40.2,16.0,0,No Failure
9,M14868,M,298.3,308.7,1667.0,28.6,18.0,0,No Failure
10,M14869,M,,309.0,1741.0,28.0,21.0,0,No Failure
11,H29424,H,298.4,308.9,1782.0,23.9,24.0,0,No Failure
12,H29425,H,298.6,309.1,,44.3,29.0,0,No Failure
13,M14872,M,298.6,309.1,1339.0,51.1,34.0,0,No Failure
14,M14873,M,298.6,309.2,,30.0,37.0,0,No Failure
15,L47194,L,298.6,309.2,2035.0,19.6,40.0,0,No Failure
16,L47195,L,298.6,309.2,1542.0,48.4,42.0,0,No Failure
17,M14876,M,298.6,309.2,1311.0,46.6,44.0,0,No Failure
18,M14877,M,298.7,309.2,,45.6,47.0,0,No Failure
19,H29432,H,298.8,309.2,1306.0,54.5,50.0,0,No Failure
20,M14879,M,298.9,309.3,1632.0,32.5,55.0,0,No Failure
21,H29434,H,298.9,309.3,1375.0,42.7,58.0,0,No Failure
22,L47201,L,298.8,309.3,,44.8,63.0,0,No Failure
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,0,No Failure
24,L47203,L,299.0,309.4,1758.0,25.7,68.0,0,No Failure
25,M14884,M,299.0,,1561.0,37.3,70.0,0,No Failure
26,L47205,L,299.0,309.5,1861.0,23.3,73.0,0,No Failure
27,L47206,L,299.1,309.5,1512.0,39.0,75.0,0,No Failure
28,H29441,H,299.1,309.4,1811.0,24.6,77.0,0,No Failure
29,L47208,L,299.1,309.4,1439.0,44.2,82.0,0,No Failure
30,L47209,L,299.0,309.4,1693.0,30.1,84.0,0,No Failure
31,M14890,M,299.1,,1339.0,48.2,86.0,0,No Failure
